thread_num,average,median,90%line,95%line,99%line,min,max,throughput
1,49,49,50,50,66,48,77,20
5,50,49,53,57,71,38,73,85.3
10,50,49,52,55,59,43,65,168.7
15,54,50,66,74,108,34,140,237.2
20,54,51,57,60,108,42,375,313
25,80,53,197,263,329,38,361,285.1
30,58,55,68,78,107,36,117,450.6
35,62,55,69,90,271,42,325,501.6
40,98,65,212,263,361,29,565,380.2
45,127,68,361,419,460,31,535,334.7
50,75,63,91,208,288,32,374,612.8
