thread_num,average,median,90%line,95%line,99%line,min,max,throughput
1,50,49,52,57,68,48,68,19.8
5,50,49,53,58,61,35,61,75.3
10,53,50,66,73,86,42,99,144.2
15,69,51,131,133,150,34,172,175.6
20,50,50,53,55,58,34,59,286.9
25,55,52,66,74,98,42,105,347.6
30,60,58,71,82,100,34,119,395.5
35,62,59,83,95,117,33,135,441.9
40,105,75,197,238,319,27,435,312.9
45,108,66,236,337,460,38,495,368.1
50,95,66,238,275,308,31,437,460.3
