thread_num,average,median,90%line,95%line,99%line,min,max,throughput
1,394,394,394,394,394,394,394,2.5
5,284,283,286,290,290,280,290,4.6
10,391,403,430,430,443,311,443,8
15,399,402,409,409,423,373,423,11.5
20,390,390,402,407,417,367,417,15.2
25,400,398,413,417,432,367,432,18.8
30,395,393,402,408,417,375,417,22.5
35,397,396,412,416,420,359,420,25.8
40,422,409,439,462,660,380,660,38.8
45,415,418,432,439,462,383,462,33.4
50,399,398,411,412,428,368,428,36.1
