thread_num,average,median,90%line,95%line,99%line,min,max,throughput
1,51,51,51,51,51,51,51,19.6
5,52,51,51,58,58,51,58,5.8
10,51,51,51,51,58,51,58,10.5
15,51,50,51,55,58,50,58,15.1
20,58,60,65,66,66,49,66,19.8
25,54,56,69,76,88,28,88,25.3
30,51,52,69,70,71,29,71,29.8
35,51,51,69,72,73,26,73,33.4
40,72,75,92,94,98,36,98,38.8
45,84,86,105,116,127,30,127,42.6
50,87,86,115,126,139,56,139,48.3
