thread_num,average,median,90%line,95%line,99%line,min,max,throughput
1,273,270,284,292,298,265,298,3.7
5,422,397,504,643,691,263,718,11
10,466,405,669,699,850,264,920,19.7
15,481,418,676,717,1067,313,1392,27.8
20,513,429,702,885,1132,304,1356,35.3
25,482,420,669,744,1092,280,1432,47.7
30,480,421,664,844,926,272,1214,56.3
35,503,425,694,885,1123,263,1851,62.6
40,502,430,687,870,1124,264,1694,71.5
45,500,430,695,868,1110,296,1372,80.5
50,534,445,758,925,1339,264,1497,83.5
