thread_num,average,median,90%line,95%line,99%line,min,max,throughput
1,269,266,280,288,300,263,304,3.7
5,419,397,444,626,709,263,718,11.2
10,455,405,661,694,899,284,1127,21.3
15,460,413,660,686,879,335,957,31.1
20,484,421,669,722,1089,257,1346,38.7
25,475,421,653,701,1118,262,1387,50.4
30,492,422,674,752,943,264,1211,57.4
35,494,424,687,868,1100,264,1249,65.6
40,512,437,708,876,1112,313,1868,73
45,525,444,729,900,1147,264,1546,80.2
50,539,448,752,916,1243,273,1716,87.1
