thread_num,average,median,90%line,95%line,99%line,min,max,throughput
1,50,50,52,52,53,49,53,19.9
5,55,50,74,82,99,36,99,37.7
10,50,49,57,58,62,47,63,71.1
15,62,65,83,86,100,33,107,101.4
20,49,49,53,56,58,41,58,138
25,73,66,99,108,166,30,166,148.7
30,172,148,312,344,345,35,379,100.2
35,135,132,205,238,298,35,300,148.9
40,280,305,386,394,419,35,420,101.2
45,253,239,425,477,510,30,533,121.3
50,294,334,492,525,552,34,554,123.2
